Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
PPT497,Polymer Engineering Technology Senior Project,21,8/22/2025 to 12/5/2025,3.00,F 1:00PM - 2:15PM,"Barilla,Adam",,On Campus,Fall Only,withdrawal date 11/14/25,5 of 5,Click for Details
HIS116,World History I,22,8/19/2025 to 12/4/2025,3.00,TR 2:00PM - 3:15PM,"Miller BAS,Craig",,On Campus,Fall Only,W/D 11/14/2025,0 of 25,Click for Details
AMT243,Automotive Chassis & Wheel Service,01,8/18/2025 to 10/9/2025,6.00,MTW 8:00AM - 9:45AM...,"Showan,David",,On Campus,NA,9/30/2025,5 of 16,Click for Details
AMT112,Brake Systems,04,10/13/2025 to 11/7/2025,3.00,MTWR 8:00AM - 9:45AM...,"Pruden,Eric",,On Campus,NA,11/03/2025,0 of 17,Click for Details
CIM227,Material Handling/Fluid Power,02,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 8:50AM...,"Schaefer,Bryan",,On Campus,NA,11/14/2025,5 of 12,Click for Details
FYE101,First Year Experience,12 HSEM,8/19/2025 to 12/4/2025,1.00,TR 11:00AM - 11:50AM,"Schlosser,William",,On Campus,NA,11/14/2025,3 of 24,Click for Details
PHS103,Physics Survey,91,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Keebaugh,Christof",,Distance Learning,NA,W/D 11/14/2025,0 of 22,Click for Details
FYE101,First Year Experience,39 ET,8/20/2025 to 12/5/2025,1.00,WF 1:00PM - 1:50PM,"Account,Test",,On Campus,NA,11/14/2025,7 of 24,Click for Details
HIS116,World History I,91,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Wahl,Jennifer",,Distance Learning,Fall Only,W/D 11/14/2025,0 of 25,Click for Details
FOR113,Forest Mensuration,02,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 8:50AM...,"Easton,Eric",,On Campus,Fall Only,W/D 11/14/25,14 of 17,Click for Details
WEL209,Advanced Semi-Automatic Processes,01,8/18/2025 to 10/9/2025,4.00,MW 7:00AM - 7:50AM...,"Good,Ryan",,On Campus,Fall Only,withdraw date 9/30/2025,-1 of 15,Click for Details
NUR232L##,Fundamentals of Nursing Lab,03,8/22/2025 to 12/5/2025,0.00,F 6:30AM - 12:15PM...,"Account,Test",,Off Campus,NA,"11/14/25
Requires Associated Class NUR232-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 8,Click for Details
AMT109,Automotive Electrical Fundamentals,05,10/13/2025 to 11/7/2025,3.00,MTWR 8:00AM - 9:45AM...,"Young,Harrison",,On Campus,NA,11/03/2025,7 of 16,Click for Details
PHA450,Clinical Medicine I,01,8/20/2025 to 12/5/2025,5.00,W 9:00AM - 11:45AM...,"Sedor,Melissa",,On Campus,Fall Only,11/14/2025,27 of 30,Click for Details
DSM122L##,Hydraulics II Lab,01,8/18/2025 to 12/3/2025,0.00,MW 3:00PM - 5:45PM,"King,Andrew",,On Campus,NA,11/14/2025,0 of 20,Click for Details
WEL216,Advanced Shielded Metal Arc Welding,01,10/13/2025 to 12/11/2025,4.00,MW 7:00AM - 7:50AM...,"Colton,James",,On Campus,Fall Only,withdraw date 12/2/2025,-1 of 15,Click for Details
ACR152,Fundamentals of HVAC Electrical Controls,01,8/18/2025 to 12/3/2025,4.00,MW 1:00PM - 1:50PM...,"Copp,Jacob",,On Campus,NA,11/14/2025,1 of 18,Click for Details
